region,region_km2,cable_km
Alaska,3682911.644,15780.913195285202
Atlantic Islands,211232.2357,4231.959886658805
East,932351.0632,28482.392790501013
Gulf of Mexico,1553287.851,1908.9836382618405
Hawaii,2474715.095,21496.051404489186
Pacific Islands,2174942.97,4908.091580161011
West,824679.3731,20458.671641255318
