territory,energy_num,energy_lbl,area_km2,cable2_km2,cable2_pct,cable3_km2,cable3_pct
Alaska,0,0-10,283698.0785940956,766.6013194254613,0.0027021731103166378,1106.026042898691,0.003898602515673541
Alaska,10,10-20,173017.28018766255,814.041216796865,0.0047049706012828214,1194.0527986905277,0.006901349954151416
Alaska,20,20-30,258071.15849735137,613.8596901618627,0.0023786450750100494,867.8836042007304,0.003362962406392412
Alaska,30,>30,344236.3311547172,1652.3465092567574,0.004800035207539176,2532.9290196518346,0.007358110665295838
East,0,0-10,300821.78846734966,13809.687599507979,0.04590654044664336,19623.752175874,0.06523381260331781
East,10,10-20,33099.30219673226,362.98961843612744,0.01096668492521766,540.7767276435626,0.01633800992024995
Gulf of Mexico,0,0-10,265083.96064118046,1621.4586475734009,0.006116773884211798,2435.7548056057253,0.009188616315050387
Hawaii,0,0-10,35094.856635898774,7212.80668144559,0.2055231841029252,9638.771097331883,0.27464910876633464
Hawaii,10,10-20,54494.88935618318,18871.578556060285,0.3462999701258968,23009.82287454206,0.42223817951345716
Hawaii,20,20-30,84178.656066214,17848.926752371888,0.21203625225772338,22948.569584374298,0.27261743839582336
Hawaii,30,>30,6929.055175671589,2683.49234441268,0.38728113377342044,3264.0972817797347,0.47107393418372756
Puerto Rico,0,0-10,57391.41704049707,13144.592349023289,0.2290341139294065,17786.922340236408,0.3099230382774036
Puerto Rico,10,10-20,17135.99964977112,5843.540890068129,0.3410096294059027,7507.220060905848,0.4380964177369202
US Virgin Islands,0,0-10,25476.763874040065,4820.074436944547,0.18919492525720802,6919.231354181726,0.2715898843507429
US Virgin Islands,10,10-20,2123.405402814974,440.61440168489526,0.20750366420881186,613.3064432424086,0.2888315356216742
West,0,0-10,30003.613839659694,1338.8023300871482,0.044621369187116997,1805.359293788465,0.06017139480051853
West,10,10-20,12821.390361506252,350.76779465133967,0.02735801537596517,472.0041958357665,0.036813807436428106
West,20,20-30,25122.24764232338,732.9906380902911,0.029176952975155927,983.9853498817522,0.03916788672300304
West,30,>30,181367.7410329773,22366.59985691244,0.12332181968813086,29871.555891840904,0.16470159313727953
ALL,0,0-10,997570.4790927214,42714.023364007415,0.042818050713424594,59315.8171099169,0.059460277096274876
ALL,10,10-20,292692.2671546703,26683.53247769764,0.09116582661063947,33337.18310086017,0.11389840744662881
ALL,20,20-30,367372.06220588874,19195.77708062404,0.0522515973734171,24800.43853845678,0.06750768795412022
ALL,30,>30,532533.1273633661,26702.438710581875,0.05014230540509053,35668.58219327247,0.06697908610844888
