ID,pwr_wm2,area_km2,depth,cable,territory
1,0.11,0.29190620930743927,50,cable2,US Virgin Islands
1,0.1,0.29190620930743927,50,cable2,US Virgin Islands
1,0.07,0.29190620930743927,50,cable2,US Virgin Islands
1,0.07,0.29190620930743927,50,cable2,US Virgin Islands
1,0.06,0.29190620930743927,50,cable2,US Virgin Islands
1,0.05,0.29190620930743927,50,cable2,US Virgin Islands
1,0.46,0.2919146850812285,50,cable2,US Virgin Islands
1,0.46,0.2919146850812285,50,cable2,US Virgin Islands
1,0.45,0.2919146850812285,50,cable2,US Virgin Islands
1,0.44,0.2919146850812285,50,cable2,US Virgin Islands
1,0.43,0.2919146850812285,50,cable2,US Virgin Islands
1,0.42,0.2919146850812285,50,cable2,US Virgin Islands
1,0.29,0.2919146850812285,50,cable2,US Virgin Islands
1,0.27,0.2919146850812285,50,cable2,US Virgin Islands
1,0.18,0.2919146850812285,50,cable2,US Virgin Islands
1,0.17,0.2919146850812285,50,cable2,US Virgin Islands
1,0.16,0.2919146850812285,50,cable2,US Virgin Islands
1,0.11,0.2919146850812285,50,cable2,US Virgin Islands
1,0.1,0.2919146850812285,50,cable2,US Virgin Islands
1,0.1,0.2919146850812285,50,cable2,US Virgin Islands
1,0.07,0.2919146850812285,50,cable2,US Virgin Islands
1,0.07,0.2919146850812285,50,cable2,US Virgin Islands
1,0.06,0.2919146850812285,50,cable2,US Virgin Islands
1,0.05,0.2919146850812285,50,cable2,US Virgin Islands
1,0.38,0.2919231586408785,50,cable2,US Virgin Islands
1,0.39,0.2919231586408785,50,cable2,US Virgin Islands
1,0.39,0.2919231586408785,50,cable2,US Virgin Islands
1,0.39,0.2919231586408785,50,cable2,US Virgin Islands
1,0.4,0.2919231586408785,50,cable2,US Virgin Islands
1,0.41,0.2919231586408785,50,cable2,US Virgin Islands
1,0.3,0.2919231586408785,50,cable2,US Virgin Islands
1,0.28,0.2919231586408785,50,cable2,US Virgin Islands
1,0.18,0.2919231586408785,150,cable2,US Virgin Islands
1,0.17,0.2919231586408785,50,cable2,US Virgin Islands
1,0.16,0.2919231586408785,50,cable2,US Virgin Islands
1,0.1,0.2919231586408785,50,cable2,US Virgin Islands
1,0.1,0.2919231586408785,50,cable2,US Virgin Islands
1,0.07,0.2919231586408785,50,cable2,US Virgin Islands
1,0.06,0.2919231586408785,50,cable2,US Virgin Islands
1,0.05,0.2919231586408785,50,cable2,US Virgin Islands
1,0.42,0.29193162998632854,50,cable2,US Virgin Islands
1,0.44,0.29193162998632854,50,cable2,US Virgin Islands
1,0.44,0.29193162998632854,50,cable2,US Virgin Islands
1,0.43,0.29193162998632854,50,cable2,US Virgin Islands
1,0.44,0.29193162998632854,50,cable2,US Virgin Islands
1,0.44,0.29193162998632854,50,cable2,US Virgin Islands
1,0.45,0.29193162998632854,50,cable2,US Virgin Islands
1,0.32,0.29193162998632854,50,cable2,US Virgin Islands
1,0.31,0.29193162998632854,50,cable2,US Virgin Islands
1,0.29,0.29193162998632854,50,cable2,US Virgin Islands
1,0.18,0.29193162998632854,50,cable2,US Virgin Islands
1,0.16,0.29193162998632854,50,cable2,US Virgin Islands
1,0.1,0.29193162998632854,50,cable2,US Virgin Islands
1,0.1,0.29193162998632854,50,cable2,US Virgin Islands
1,0.07,0.29193162998632854,50,cable2,US Virgin Islands
1,0.07,0.29193162998632854,50,cable2,US Virgin Islands
1,0.06,0.29193162998632854,50,cable2,US Virgin Islands
1,0.06,0.29193162998632854,50,cable2,US Virgin Islands
1,0.53,0.2919400991175175,50,cable2,US Virgin Islands
1,0.51,0.2919400991175175,50,cable2,US Virgin Islands
1,0.49,0.2919400991175175,50,cable2,US Virgin Islands
1,0.47,0.2919400991175175,50,cable2,US Virgin Islands
1,0.46,0.2919400991175175,50,cable2,US Virgin Islands
1,0.33,0.2919400991175175,50,cable2,US Virgin Islands
1,0.3,0.2919400991175175,50,cable2,US Virgin Islands
1,0.17,0.2919400991175175,50,cable2,US Virgin Islands
1,0.16,0.2919400991175175,50,cable2,US Virgin Islands
1,0.1,0.2919400991175175,50,cable2,US Virgin Islands
1,0.09,0.2919400991175175,50,cable2,US Virgin Islands
1,0.07,0.2919400991175175,50,cable2,US Virgin Islands
1,0.06,0.2919400991175175,50,cable2,US Virgin Islands
1,0.06,0.2919400991175175,50,cable2,US Virgin Islands
1,0.06,0.2919400991175175,50,cable2,US Virgin Islands
1,0.58,0.29194856603438424,50,cable2,US Virgin Islands
1,0.57,0.29194856603438424,50,cable2,US Virgin Islands
1,0.56,0.29194856603438424,50,cable2,US Virgin Islands
1,0.54,0.29194856603438424,50,cable2,US Virgin Islands
1,0.34,0.29194856603438424,50,cable2,US Virgin Islands
1,0.32,0.29194856603438424,50,cable2,US Virgin Islands
1,0.29,0.29194856603438424,50,cable2,US Virgin Islands
1,0.17,0.29194856603438424,50,cable2,US Virgin Islands
1,0.16,0.29194856603438424,50,cable2,US Virgin Islands
1,0.1,0.29194856603438424,50,cable2,US Virgin Islands
1,0.09,0.29194856603438424,50,cable2,US Virgin Islands
1,0.07,0.29194856603438424,50,cable2,US Virgin Islands
1,0.07,0.29194856603438424,50,cable2,US Virgin Islands
1,0.06,0.29194856603438424,50,cable2,US Virgin Islands
1,0.06,0.29194856603438424,50,cable2,US Virgin Islands
1,0.75,0.2919570307368674,50,cable2,US Virgin Islands
1,0.67,0.2919570307368674,50,cable2,US Virgin Islands
1,0.63,0.2919570307368674,50,cable2,US Virgin Islands
1,0.58,0.2919570307368674,50,cable2,US Virgin Islands
1,0.54,0.2919570307368674,50,cable2,US Virgin Islands
1,0.51,0.2919570307368674,50,cable2,US Virgin Islands
1,0.34,0.2919570307368674,50,cable2,US Virgin Islands
1,0.32,0.2919570307368674,50,cable2,US Virgin Islands
1,0.29,0.2919570307368674,150,cable2,US Virgin Islands
