pwr_wm2,area_km2,territory
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0,0.2917001408099372,Puerto Rico
0.03,0.29170867021976843,Puerto Rico
0.03,0.29170867021976843,Puerto Rico
0.03,0.29170867021976843,Puerto Rico
0.03,0.29170867021976843,Puerto Rico
0.02,0.29170867021976843,Puerto Rico
0.02,0.29170867021976843,Puerto Rico
0.02,0.29170867021976843,Puerto Rico
0.02,0.29170867021976843,Puerto Rico
0.02,0.29170867021976843,Puerto Rico
0.02,0.29170867021976843,Puerto Rico
0.015,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0.01,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0,0.29170867021976843,Puerto Rico
0.04,0.29171719741694785,Puerto Rico
0.04,0.29171719741694785,Puerto Rico
0.03,0.29171719741694785,Puerto Rico
0.03,0.29171719741694785,Puerto Rico
0.03,0.29171719741694785,Puerto Rico
0.03,0.29171719741694785,Puerto Rico
0.02,0.29171719741694785,Puerto Rico
0.02,0.29171719741694785,Puerto Rico
0.02,0.29171719741694785,Puerto Rico
0.02,0.29171719741694785,Puerto Rico
0.02,0.29171719741694785,Puerto Rico
0.02,0.29171719741694785,Puerto Rico
0.02,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0.01,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
