ID,pwr_wm2,area_km2,depth,cable,territory
1,0.13,0.26588250739799607,50,cable2,Gulf of Mexico
1,0.09,0.26588250739799607,50,cable2,Gulf of Mexico
1,0.13,0.26589600397715896,50,cable2,Gulf of Mexico
1,0.13,0.26589600397715896,50,cable2,Gulf of Mexico
1,0.16,0.26589600397715896,50,cable2,Gulf of Mexico
1,0.115,0.2659094985312065,50,cable2,Gulf of Mexico
1,0.12,0.2659094985312065,50,cable2,Gulf of Mexico
1,0.13,0.2659094985312065,50,cable2,Gulf of Mexico
1,0.09,0.26592299106003986,50,cable2,Gulf of Mexico
1,0.10500000000000001,0.26592299106003986,50,cable2,Gulf of Mexico
1,0.13,0.26592299106003986,50,cable2,Gulf of Mexico
1,0.1,0.2659364815635607,50,cable2,Gulf of Mexico
1,0.11,0.2659364815635607,50,cable2,Gulf of Mexico
1,0.14500000000000002,0.2659364815635607,50,cable2,Gulf of Mexico
1,0.11,0.2659499700416702,50,cable2,Gulf of Mexico
1,0.125,0.2659499700416702,50,cable2,Gulf of Mexico
1,0.15,0.2659499700416702,50,cable2,Gulf of Mexico
1,0.18,0.2659499700416702,50,cable2,Gulf of Mexico
1,0.14,0.2659634564942699,50,cable2,Gulf of Mexico
1,0.16,0.2659634564942699,50,cable2,Gulf of Mexico
1,0.21,0.2659634564942699,50,cable2,Gulf of Mexico
1,0.16,0.2659769409212611,50,cable2,Gulf of Mexico
1,0.19,0.2659769409212611,50,cable2,Gulf of Mexico
1,0.25,0.2659769409212611,50,cable2,Gulf of Mexico
1,0.17,0.2659904233225451,50,cable2,Gulf of Mexico
1,0.2,0.2659904233225451,50,cable2,Gulf of Mexico
1,0.27,0.2659904233225451,50,cable2,Gulf of Mexico
1,0.31,0.2659904233225451,50,cable2,Gulf of Mexico
1,0.23,0.2660039036980236,50,cable2,Gulf of Mexico
1,0.26,0.2660039036980236,50,cable2,Gulf of Mexico
1,0.25,0.2660039036980236,50,cable2,Gulf of Mexico
1,0.22,0.266017382047598,50,cable2,Gulf of Mexico
1,0.22,0.266017382047598,50,cable2,Gulf of Mexico
1,0.2,0.266017382047598,50,cable2,Gulf of Mexico
1,0.18,0.2660308583711695,50,cable2,Gulf of Mexico
1,0.17,0.2660308583711695,50,cable2,Gulf of Mexico
1,0.165,0.2660308583711695,50,cable2,Gulf of Mexico
1,0.17,0.2660308583711695,50,cable2,Gulf of Mexico
1,0.17,0.2660443326686399,50,cable2,Gulf of Mexico
1,0.19,0.2660443326686399,50,cable2,Gulf of Mexico
1,0.21,0.2660443326686399,50,cable2,Gulf of Mexico
1,0.22,0.2660578049399105,50,cable2,Gulf of Mexico
1,0.25,0.2660578049399105,50,cable2,Gulf of Mexico
1,0.3,0.2660578049399105,50,cable2,Gulf of Mexico
1,0.31,0.266071275184883,50,cable2,Gulf of Mexico
1,0.39,0.266071275184883,50,cable2,Gulf of Mexico
1,0.49,0.266071275184883,50,cable2,Gulf of Mexico
1,0.53,0.26608474340345856,50,cable2,Gulf of Mexico
1,0.68,0.26608474340345856,50,cable2,Gulf of Mexico
1,0.83,0.26608474340345856,50,cable2,Gulf of Mexico
1,1.19,0.26609820959553915,50,cable2,Gulf of Mexico
1,1.4049999999999998,0.26609820959553915,50,cable2,Gulf of Mexico
1,2.49,0.26611167376102607,50,cable2,Gulf of Mexico
1,2.47,0.26611167376102607,50,cable2,Gulf of Mexico
1,3.96,0.266125135899821,50,cable2,Gulf of Mexico
1,3.91,0.266125135899821,50,cable2,Gulf of Mexico
1,6.67,0.2661385960118256,50,cable2,Gulf of Mexico
1,6.5,0.2661385960118256,50,cable2,Gulf of Mexico
1,12.86,0.26615205409694126,50,cable2,Gulf of Mexico
1,14.05,0.26615205409694126,50,cable2,Gulf of Mexico
1,20.12,0.2661655101550699,50,cable2,Gulf of Mexico
1,19.93,0.2661655101550699,50,cable2,Gulf of Mexico
1,12.555,0.2661789641861127,50,cable2,Gulf of Mexico
1,6.005,0.2661789641861127,50,cable2,Gulf of Mexico
1,2.4566666666666666,0.2661924161899717,50,cable2,Gulf of Mexico
1,1.375,0.2661924161899717,50,cable2,Gulf of Mexico
1,0.89,0.26620586616654845,50,cable2,Gulf of Mexico
1,1.15,0.26620586616654845,50,cable2,Gulf of Mexico
1,0.67,0.26621931411574457,50,cable2,Gulf of Mexico
1,0.96,0.26621931411574457,50,cable2,Gulf of Mexico
1,0.5,0.2662327600374619,50,cable2,Gulf of Mexico
1,0.72,0.2662327600374619,50,cable2,Gulf of Mexico
1,0.39,0.2662462039316021,50,cable2,Gulf of Mexico
1,0.52,0.2662462039316021,50,cable2,Gulf of Mexico
1,0.33,0.26625964579806694,50,cable2,Gulf of Mexico
1,0.39,0.26625964579806694,50,cable2,Gulf of Mexico
1,0.3,0.266273085636758,50,cable2,Gulf of Mexico
1,0.29,0.266273085636758,50,cable2,Gulf of Mexico
1,0.25,0.2662865234475771,50,cable2,Gulf of Mexico
1,0.21,0.2662865234475771,50,cable2,Gulf of Mexico
1,0.18,0.26629995923042626,50,cable2,Gulf of Mexico
1,0.14,0.26629995923042626,50,cable2,Gulf of Mexico
1,0.1,0.26631339298520684,50,cable2,Gulf of Mexico
1,0.08,0.26631339298520684,50,cable2,Gulf of Mexico
1,0.06,0.26632682471182106,50,cable2,Gulf of Mexico
1,0.05,0.26632682471182106,50,cable2,Gulf of Mexico
1,0.04,0.26634025441017034,50,cable2,Gulf of Mexico
1,0.04,0.26634025441017034,50,cable2,Gulf of Mexico
1,0.04,0.26635368208015686,50,cable2,Gulf of Mexico
