territory,depth_factor,energy_factor,area_km2,cable2_km2,cable2_pct,cable3_km2,cable3_pct
West,">1,000",7-8,15654.523388257727,0,0,0,0
West,">1,000",8-9,37374.47908743312,1578.523239386159,0.0422353241551111,1986.911326134208,0.0531622480004622
West,">1,000",9-10,32513.49264874603,5572.886288895815,0.17140226517961454,7547.545896822684,0.2321358083046109
ALL,<0,<=7,4198.896955530073,8.163671766162222,0.0019442419884609034,13.73530785605116,0.0032711705006147744
ALL,<0,10-11,1032.7777194176854,0,0,0,0
ALL,<0,7-8,2025.4720096435265,0,0,0,0
ALL,<0,8-9,2480.7508381013995,2.9287672639979987,0.0011805971075432473,4.889194362399483,0.001970852649652371
ALL,<0,9-10,246.63003742473296,0.6646122434668578,0.0026947741256767455,1.012849822233889,0.004106757768882845
ALL,<0,11-12,31.22470075946005,0,0,0,0
ALL,0-100,<=7,29008.19343128067,618.6864638744137,0.021327990153542614,862.6991289786336,0.029739843366059168
ALL,0-100,10-11,77131.33301439605,14.245355744659781,1.8468960911126716e-4,21.487513181298528,2.785834542401598e-4
ALL,0-100,7-8,84640.94490537008,7.282573605995267,8.604078810955264e-5,9.580694819577829,1.1319220065760369e-4
ALL,0-100,8-9,124720.60226654794,452.7242734470068,0.003629907691429058,657.7453433569722,0.005273750538433617
ALL,0-100,9-10,49609.914094286956,3191.2357269145127,0.06432657232280943,4495.904014033536,0.09062511185745596
ALL,0-100,11-12,195.9349972656118,13.016344452850234,0.0664319526092887,19.42523877455674,0.09914124095055696
ALL,100-200,<=7,4769.561980173983,523.1454991356268,0.10968418091854706,669.7094873713203,0.14041320568956958
ALL,100-200,10-11,2842.5503109929077,7.8221957559778446,0.002751823151811001,11.517001778343879,0.004051643952898399
ALL,100-200,7-8,7116.909573763743,10.80473421934135,0.0015181778140293722,15.78867536022521,0.002218473509685953
ALL,100-200,8-9,18497.881806356454,199.18198319891036,0.01076782656976785,281.52174728413627,0.015219134289602636
ALL,100-200,9-10,28074.000994309674,344.80727570058895,0.012282085327648098,512.4205455555975,0.018252494386512993
ALL,100-200,11-12,105.38336506317766,1.0076905879943845,0.009562140926039615,1.4593835033820608,0.013848328932248043
ALL,"200-1,000",<=7,19744.45699569775,1074.665436204096,0.05442871568654747,1411.0414556741866,0.07146519430651589
ALL,"200-1,000",10-11,11400.762704010189,169.6307929313813,0.014878898661026785,246.13217754164634,0.021589097495650005
ALL,"200-1,000",7-8,12750.458950012768,36.57315321460638,0.0028683793546560735,49.57510839319495,0.003888103839050069
ALL,"200-1,000",8-9,34891.37566486378,1490.2591198524558,0.042711389031105836,1915.4465423715972,0.054897421092527605
ALL,"200-1,000",9-10,24502.48745099578,2612.8184308829514,0.10663482375446606,3780.4992151595065,0.15429042552191438
ALL,"200-1,000",11-12,996.0679542267756,127.5075557539267,0.12801090047406238,183.90016882903655,0.18462612721216795
ALL,">1,000",<=7,41479.87116790132,5786.948472311832,0.13951220940121892,7579.379318311117,0.18272427336216812
ALL,">1,000",10-11,15027.724758421711,2584.450756033345,0.1719788456056855,3244.632909815074,0.21590979086815815
ALL,">1,000",7-8,15985.505216308004,162.49595651137582,0.010165206186014165,229.0997138036599,0.014331715557537603
ALL,">1,000",8-9,97231.78854897062,21707.377153008365,0.22325391188371982,26541.30849762079,0.27296945673536904
ALL,">1,000",9-10,70651.64589159472,17983.231196168188,0.2545337899666343,23228.535444217043,0.328775574172158
ALL,">1,000",11-12,12329.0730948728,346.7345919423713,0.028123330056869015,661.0283016196222,0.05361540940936745
