Data,Source,Website
Offshore Cables,National Oceanic and Atmospheric Administration (NOAA),http://marinecadastre.gov/data/
Bathymetry,General Bathymetric Chart of the Oceans (GEBCO),http://www.gebco.net/data_and_products/gridded_bathymetry_data/
U.S. Shoreline,NOAA,http://shoreline.noaa.gov/data/datasheets/medres.html
Tide,Georgia Tech Research Corporation,http://www1.eere.energy.gov/water/pdfs/1023527.pdf
Wave,Electric Power Research Institute,http://www1.eere.energy.gov/water/pdfs/mappingandassessment.pdf
Wind (100m height),"AWS Truepower, LLC for windNavigator",http://apps2.eere.energy.gov/wind/windexchange/windmaps/
