territory,energy_num,energy_lbl,area_km2,cable2_km2,cable2_pct,cable3_km2,cable3_pct
East,7,<=7,8006.059893115355,49.58844912724261,0.006193864371397617,69.92989411457557,0.008734620406063954
East,8,7-8,48890.28985419821,239.99983901255794,0.004908946944849196,352.1178015720003,0.007202203190492314
East,9,8-9,124946.1000720849,2990.525660570048,0.023934525838299314,4212.736760345109,0.03371643258904971
East,10,9-10,75695.43942937088,3235.2627792823746,0.042740524444687324,4734.781177553526,0.06255041536513448
East,11,10-11,40.799998167355,0,0,0,0
Gulf of Mexico,7,<=7,6082.700045517807,12.14811766378498,0.0019971587572753372,18.289684446808046,0.0030068364887210356
Gulf of Mexico,8,7-8,90253.61118920299,1079.3845236835052,0.011959460784574475,1620.4650742051626,0.01795457326142999
Gulf of Mexico,9,8-9,28855.39688691997,0,0,0,0
Hawaii,7,<=7,38997.82272582279,5870.896052304971,0.1505442007257882,7664.1106185428725,0.1965266284845181
Hawaii,8,7-8,59130.65798927943,20335.205697935533,0.34390291583804744,24875.970856292344,0.42069497790473487
Hawaii,9,8-9,45787.30842517378,13399.695352905957,0.29265086360784703,17090.631369880422,0.3732613241027294
Hawaii,10,9-10,14099.110705260262,488.26618875905365,0.03463099190907733,865.8131714784686,0.06140906256984285
Hawaii,11,10-11,4184.369020711125,771.5587011636455,0.18439069244244638,1004.04861033206,0.23995221390904573
Hawaii,12,11-12,545.5342212762114,217.15581719533392,0.3980608525113679,304.0444557868459,0.5573334246118797
West,7,<=7,50335.4096014095,2085.1118174708126,0.04142435382928572,2795.0725720353585,0.055528952563785046
West,8,7-8,45118.81025871323,3278.46184557087,0.07266286116083351,4174.760521256189,0.09252816059018246
West,9,8-9,88522.49771230292,7743.554635749489,0.08747555520762586,10716.403540871703,0.12105853108324946
West,10,9-10,42917.9289659896,6201.0135503546435,0.14448538640503014,8386.02682181287,0.19539681955432642
West,11,10-11,13190.219668024925,2004.5903122593295,0.1519755063002292,2519.720480959097,0.19102945548869654
ALL,7,<=7,103421.99226586545,8017.744436566811,0.07752455992102442,10547.402769139615,0.10198413836416491
ALL,8,7-8,243393.36929139384,24933.051906202465,0.10243932272597071,31023.314253325698,0.12746162454485013
ALL,9,8-9,288111.3030964816,24133.775649225492,0.08376545935493432,32019.771671097235,0.11113681180489672
ALL,10,9-10,132712.47910062075,9924.542518396072,0.0747822856271973,13986.621170844865,0.1053903993477539
ALL,11,10-11,17415.388686903407,2776.1490134229753,0.15940781244295021,3523.769091291157,0.2023365171252868
ALL,12,11-12,545.5342212762114,217.15581719533392,0.3980608525113679,304.0444557868459,0.5573334246118797
