territory,area_km2,cable2_km2,cable3_km2,cable2_pct,cable3_pct
Alaska,3682911.6436865795,167361.37357482515,237610.1431480595,0.045442679533657535,0.06451692740318166
Atlantic Islands,211232.23571538873,31102.856391594752,43042.87105092309,0.1472448382996916,0.20377037105699355
East,932351.0632321162,133107.62916205457,165003.9738363187,0.14276556804753315,0.17697622745697417
Gulf of Mexico,1553287.8511280424,6133.237224821771,9210.668987750345,0.003948551596774311,0.005929788854693798
Hawaii,2474715.0947406557,302347.8979956105,419341.2493962226,0.12217483080705734,0.1694503138108383
Pacific Islands,2174942.9703900903,104139.26213770249,151849.04857783264,0.047881375997194275,0.06981748516863295
West,824679.3731334766,183109.71544563954,242031.2594537295,0.22203746257153292,0.2934852832975563
ALL,11854120.23202635,927301.9719322488,1268089.2144508364,0.07822613182435516,0.10697455311992128
