region,area_km2,cable_km2,cable_pct
Alaska,3682911.644,1927.4850834530075,0.052335903485307936
Atlantic Islands,211232.2357,505.8624661893841,0.23948166079529126
East,932351.0632,3459.365802185251,0.3710368270844324
Gulf of Mexico,1553287.851,232.41140861028825,0.014962545960857339
Hawaii,2474715.095,2613.382103305782,0.1056033524257378
Pacific Islands,2174942.97,597.5398939047005,0.027473818952811462
West,824679.3731,2475.0934587314277,0.3001279696650422
