region,energy,viable_km2,cable_km2,cable_pct_viable
East,10-11,0.6114280578457247,NA,NA
East,7-8,47000.57602724151,33.595419621488105,0.07147874017972933
East,8-9,116081.7470502944,414.4743103637401,0.35705381844758244
East,9-10,74826.11232023359,408.85516645678297,0.5464070680393016
Gulf of Mexico,7-8,85031.52896501916,92.8105261482531,0.10914836799704511
Gulf of Mexico,8-9,28530.441313756954,NA,NA
Hawaii,10-11,1009.3865304622307,10.398037577216982,1.0301343700767815
Hawaii,>11,207.2608469680794,3.50820103033732,1.6926501467388215
Hawaii,7-8,6930.991786526031,17.708853901374702,0.2555024511181938
Hawaii,8-9,7177.676955356668,57.651524712436036,0.8032058989421496
Hawaii,9-10,1328.9068102305482,9.309570175318699,0.7005434921131609
West,10-11,3945.838982144228,NA,NA
West,7-8,28178.301515846637,150.06687256066414,0.5325618099312018
West,8-9,50171.389809184606,160.62696064684346,0.3201564900987422
West,9-10,12192.289405298312,22.043643561701728,0.18079987136888653
