form,energy,depth,viable_km2,cable_km2,cable_pct_viable
tide,">1,500",0-100,205.2980161947334,0.5725769659028863,0.27890038906161374
tide,"1,000-1,500",0-100,306.1077686221956,1.660524598089749,0.54246404969199
tide,"500-1,000",0-100,1160.0296701966645,11.740946247215957,1.0121246506760009
wave,>30,0-100,21213.126109488127,16.721079746765533,0.07882421318037888
wave,>30,100-200,47818.41720983236,34.367176238600884,0.07187016686017443
wave,10-20,0-100,121860.60974425453,38.7893191084199,0.031830892024769915
wave,10-20,100-200,47416.103412329176,41.95570177198548,0.08848407767112328
wave,20-30,0-100,62766.587773741085,9.419048196275238,0.015006468457754484
wave,20-30,100-200,77833.4252711145,15.775118873493863,0.02026779474055643
wind,10-11,0-100,551.1609483127766,0.8188070116918053,0.1485604185489468
wind,10-11,100-200,785.6398538986041,0.4855688224674582,0.06180552323789399
wind,10-11,"200-1,000",3619.0361384529233,3.882640595972679,0.10728383048510927
wind,>11,0-100,42.32854452298499,0.49301043314179777,1.164723329605832
wind,>11,100-200,44.73004226483532,0.6409085837438107,1.4328369733011928
wind,>11,"200-1,000",120.20226018025907,0.6054600407057404,0.5037010450533739
wind,7-8,0-100,134632.87216507774,77.78070490064762,0.05777244713703959
wind,7-8,100-200,7375.7309039014635,15.155172553953381,0.20547350156086777
wind,7-8,"200-1,000",25132.795225654103,55.803341688440526,0.22203396473576367
wind,8-9,0-100,145957.43390381045,222.95867223826932,0.15275595512675605
wind,8-9,100-200,19615.98621760801,21.190820775626243,0.10802832210702006
wind,8-9,"200-1,000",36387.835007174166,73.62361057346435,0.2023302858192823
wind,9-10,0-100,45164.96759604339,189.16732733064325,0.41883640662063704
wind,9-10,100-200,24752.06898655562,10.608988006588428,0.042861015022020284
wind,9-10,"200-1,000",18430.271953163443,20.759925481126377,0.11264036436295269
