region,region_km2,cable_km
Alaska,3682911.6436865795,15780.913195285202
Atlantic Islands,211232.23571538873,4231.959886658805
East,932351.0632321162,28482.392790501013
Gulf of Mexico,1553287.8511280424,1908.9836382618405
Hawaii,2474715.0947406557,21496.051404489186
Pacific Islands,2174942.9703900903,4908.091580161011
West,824679.3731334766,20458.671641255318
