region,region_km2,cable_km2,cable_pct_region
Alaska,3682911.6436865795,963.0301084079769,0.026148607449186255
Atlantic Islands,211232.23571538873,254.20499843147377,0.1203438469372572
East,932351.0632321162,1733.610661337196,0.18593968835380628
Gulf of Mexico,1553287.8511280424,116.23004922624867,0.007482840295302578
Hawaii,2474715.0947406557,1308.024076636349,0.05285554201435971
Pacific Islands,2174942.9703900903,298.89240029716797,0.013742539660410483
West,824679.3731334766,1242.7398070562253,0.15069369351803644
