region,area_km2
Alaska,3682911.6436865795
Atlantic Islands,211232.23571538873
East,932351.0632321162
Gulf of Mexico,1553287.8511280424
Hawaii,2474715.0947406557
Pacific Islands,2174942.9703900903
West,824679.3731334766
